CYCLE,ORGID,ORGNAME,TOTAL,INDIVS,PACS,SOFT,TOT527,DEMS,REPUBS,LOBBYING,OUTSIDE,MEMS_INVESTED,GAVE_TO_PAC,GAVE_TO_PARTY,GAVE_TO_527,GAVE_TO_CAND,SOURCE
2020,D000092908,Paris Review,9164,9164,0,0,0,9149,0,0,0,0,0,0,9149,0,www.opensecrets.org/orgs/summary.php?id=D000092908
2022,D000055226,Parkview Health System,9101,7901,0,1200,0,2647,5254,63000,0,0,0,4073,3390,0,www.opensecrets.org/orgs/summary.php?id=D000055226
2022,D000062815,Parkview Hospital,670,670,0,0,0,150,520,0,0,0,0,520,150,0,www.opensecrets.org/orgs/summary.php?id=D000062815
2022,D000055227,Parkview Medical Center,2479,2479,0,0,0,350,1919,20000,0,0,0,895,525,0,www.opensecrets.org/orgs/summary.php?id=D000055227
2016,D000038620,Pittsburgh Tribune-Review,1500,0,0,0,1500,0,1500,0,0,0,0,0,0,1500,www.opensecrets.org/orgs/summary.php?id=D000038620
2016,D000071912,PJT Camberview,36528,33828,0,2700,0,31128,0,0,0,0,0,7300,26528,0,www.opensecrets.org/orgs/summary.php?id=D000071912
2022,D000097449,"Port of Longview, WA",0,0,0,0,0,0,0,50000,0,0,0,0,0,0,www.opensecrets.org/orgs/summary.php?id=D000097449
2020,D000095571,Quality Reviews,5504,5504,0,0,0,5398,0,20000,0,0,0,0,5304,0,www.opensecrets.org/orgs/summary.php?id=D000095571
2020,D000096121,Ridgeview Asset Management,3401,2401,0,1000,0,2401,0,0,0,0,0,13,2388,0,www.opensecrets.org/orgs/summary.php?id=D000096121
2020,D000056135,RidgeviewTel,75,75,0,0,0,75,0,0,0,0,0,0,75,0,www.opensecrets.org/orgs/summary.php?id=D000056135
2022,D000043219,Riverview Capital Investments,9800,9800,0,0,0,9800,0,0,0,0,0,0,9800,0,www.opensecrets.org/orgs/summary.php?id=D000043219
2022,D000065781,Sageview Capital,194114,91832,0,102282,0,77332,14500,0,0,0,0,53300,38532,0,www.opensecrets.org/orgs/summary.php?id=D000065781
